id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1408571599 ,a7865bd0-375f-3d7b-9a1d-0b0dfe977b2d,  -19.163000 ,  -41.157000 ,2019-11-09 16:30:00,Brasil,MINAS GERAIS,RESPLENDOR,Mata Atlântica
 1408571597 ,814dd531-05a0-3fd0-a7b5-c6a4a462b2ac,  -15.664000 ,  -45.248000 ,2019-11-09 16:30:00,Brasil,MINAS GERAIS,CHAPADA GAÚCHA,Cerrado
 1408571593 ,4261cce1-50c6-323e-af80-16eab313a8de,  -19.829000 ,  -47.105000 ,2019-11-09 16:30:00,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado
 1408571590 ,d45dee77-d4d1-3055-8477-2819b3b6737d,  -16.157000 ,  -42.859000 ,2019-11-09 16:30:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 1408571741 ,05f09599-5624-3f19-b0d5-edeb30785691,  -17.788000 ,  -40.746000 ,2019-11-09 16:30:00,Brasil,MINAS GERAIS,CARLOS CHAGAS,Mata Atlântica
 1180766264 ,56fddaf8-03f2-31f9-8ca9-e5246f6e289e,  -17.511000 ,  -47.422000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 1180766255 ,760e0171-7a27-3068-85c4-2c91076a2a94,  -19.062000 ,  -42.157000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,PERIQUITO,Mata Atlântica
 1180766256 ,1b990388-64a5-3dcb-a419-04426f807dbe,  -18.599000 ,  -44.367000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,CURVELO,Cerrado
 1180766257 ,8914724e-22dc-3c19-bd06-16c617b14bfd,  -18.011000 ,  -42.401000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica
 1180766258 ,849e0d57-fc83-36a8-a7cd-154c0ee396ee,  -17.938000 ,  -45.859000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,JOÃO PINHEIRO,Cerrado
 1180766259 ,ebd8cd9b-5b28-31e0-8cf5-65ff191db2f4,  -17.841000 ,  -42.499000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,CAPELINHA,Mata Atlântica
 1180766260 ,34676ad7-ba0f-3a7d-92ec-8b575c0e875d,  -17.730000 ,  -44.314000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,LASSANCE,Cerrado
 1180766261 ,0fff2d45-24c9-3f49-a11b-2a20aff2ddd3,  -17.524000 ,  -47.435000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 1180766262 ,67a3bfc0-da6a-3642-9c49-dfbf561f3df5,  -17.522000 ,  -47.421000 ,2019-07-11 16:35:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 1183996060 ,b678cc8b-a94f-3cdd-8da0-5bc44ee1e34a,  -21.839000 ,  -46.476000 ,2019-07-12 17:15:00,Brasil,MINAS GERAIS,CALDAS,Mata Atlântica
 1183995982 ,92e92253-5bff-3757-a53f-1f3f9388e02d,  -20.280000 ,  -46.698000 ,2019-07-12 17:20:00,Brasil,MINAS GERAIS,DELFINÓPOLIS,Cerrado
 1183995983 ,2c4ec8e5-7adc-3d77-8124-4308a8becf63,  -20.048000 ,  -49.265000 ,2019-07-12 17:20:00,Brasil,MINAS GERAIS,FRUTAL,Cerrado
 1183995984 ,dfcd88cf-3422-3464-b071-f2e293d6dba4,  -19.567000 ,  -44.381000 ,2019-07-12 17:20:00,Brasil,MINAS GERAIS,INHAÚMA,Cerrado
 871201539 ,19ec54fc-cd77-3db6-baa3-b3be329c805f,  -21.715000 ,  -44.315000 ,2019-02-10 16:30:00,Brasil,MINAS GERAIS,ANDRELÂNDIA,Mata Atlântica
 871201540 ,9f5015f2-bc7c-3582-8c11-2ef9cf43ccf6,  -21.707000 ,  -43.428000 ,2019-02-10 16:30:00,Brasil,MINAS GERAIS,JUIZ DE FORA,Mata Atlântica
 871201541 ,8ec60e2f-d7e5-3137-a96e-600e65cfe0ea,  -19.723000 ,  -45.396000 ,2019-02-10 16:30:00,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado
 1018061453 ,5546846e-0123-3340-94fd-1b0c19db8454,  -17.258000 ,  -46.600000 ,2019-04-20 16:50:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 1018061439 ,c3cdfc50-64ed-36cd-978f-b5f9ab463a64,  -22.186000 ,  -44.604000 ,2019-04-20 16:45:00,Brasil,MINAS GERAIS,ALAGOA,Mata Atlântica
 1034678895 ,05d24c5c-dfbc-37ed-8864-a02829a2c133,  -17.144000 ,  -41.312000 ,2019-04-29 16:40:00,Brasil,MINAS GERAIS,NOVO ORIENTE DE MINAS,Mata Atlântica
