id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1607685889 ,0ab2d070-b785-3976-8573-a1ce042abba9,  -20.267090 ,  -45.566460 ,2022-10-18 17:13:00,Brasil,MINAS GERAIS,ARCOS,Cerrado
 1607685963 ,367f116e-0fa8-3e73-be13-f4273face4a4,  -16.493480 ,  -42.867280 ,2022-10-18 17:15:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 1607685964 ,81ef86bc-7bd3-3708-ac92-7b65baf0204a,  -16.702300 ,  -42.086700 ,2022-10-18 17:15:00,Brasil,MINAS GERAIS,ARAÇUAÍ,Mata Atlântica
 1607685977 ,ac9e814b-0cf8-3cc0-9768-8df28df91d0c,  -17.067940 ,  -43.473500 ,2022-10-18 17:15:00,Brasil,MINAS GERAIS,ITACAMBIRA,Cerrado
 1607685986 ,8a8b502e-0e03-355c-ae0b-4557210714ea,  -17.962420 ,  -44.333520 ,2022-10-18 17:13:00,Brasil,MINAS GERAIS,BUENÓPOLIS,Cerrado
 1607685991 ,5a5beb38-9910-33d5-b63b-bb40c08190b1,  -18.252250 ,  -45.457190 ,2022-10-18 17:13:00,Brasil,MINAS GERAIS,SÃO GONÇALO DO ABAETÉ,Cerrado
 1607783038 ,db548f06-1e7c-3d43-9f3e-4d9385745c4c,  -14.611550 ,  -44.598710 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,MONTALVÂNIA,Cerrado
 1607783039 ,64fcf191-a497-3c02-a748-343dfc23e1a9,  -14.962140 ,  -45.029160 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado
 1607783042 ,bc1276e5-3704-3eb3-89e6-f3a184dbe108,  -14.973500 ,  -46.355680 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,FORMOSO,Cerrado
 1607783224 ,4a7edf54-1b5d-3a66-9b81-cb54453f7796,  -14.881900 ,  -43.237980 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607783225 ,b5d67e57-afa9-35a1-b3ca-2b275d9eaacd,  -14.894010 ,  -43.236400 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607783578 ,f0a5b90c-31ce-3f51-8584-cc9e8a44f360,  -16.144430 ,  -41.423060 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 1607783585 ,33355e9b-3b3e-37fe-bef4-9f3f44f573d3,  -16.146110 ,  -41.436500 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 1607783587 ,343dfcec-100c-3070-a0d0-6dac7f17b57f,  -16.308220 ,  -41.563700 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 1607783591 ,91f5a267-9499-3168-bc5b-c20bca3eb1c2,  -16.310710 ,  -41.556970 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 1607783593 ,e8597df7-b3db-3a5a-90ba-713997ea04bb,  -16.312360 ,  -41.570530 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 1607783598 ,5537c5cb-61dd-37d3-97cd-36a1c6e40b92,  -16.352290 ,  -41.996770 ,2022-10-19 16:20:00,Brasil,MINAS GERAIS,RUBELITA,Mata Atlântica
